Date,day_name,reported_scores,cubic_bspline_fit,base_residuals,base_residuals_pct,additive_fit,additive_residuals,additive_residuals_pct,multiplicative_fit,multiplicative_residuals,multiplicative_residuals_pct,dow_effect,dow_factor
2022-01-07,Friday,80630,58952.21502227172,21677.784977728283,36.77179045696345,60261.511084861486,20368.488915138514,33.800162904071875,60530.71605938043,20099.28394061957,33.205098583175925,1309.29606258977,1.0267759410992847
2022-01-08,Saturday,101503,79837.51714043062,21665.482859569383,27.136969729983925,77888.07737259413,23614.922627405875,30.319046796390786,78458.56640625621,23044.433593743786,29.37146910691736,-1949.4397678364924,0.9827280358462439
2022-01-09,Sunday,91477,99670.05265465418,-8193.05265465418,-8.220174903531165,96488.95770182728,-5011.957701827283,-5.194332928038633,96742.16765667051,-5265.167656670514,-5.442474346198374,-3181.0949528268934,0.9706242254318008
2022-01-10,Monday,107134,118472.23180180525,-11338.231801805247,-9.570370735290291,117355.18595580061,-10221.18595580061,-8.709615917314645,118431.62328238545,-11297.623282385452,-9.539363701405728,-1117.0458460046364,0.9996572317512535
2022-01-11,Tuesday,153880,136266.46481874707,17613.535181252926,12.925803281593401,137697.25406118616,16182.745938813838,11.752410060133073,138021.6219355985,15858.378064401506,11.48977808114811,1430.789242439101,1.0128803306021479
2022-01-12,Wednesday,137586,153075.1619423426,-15489.161942342587,-10.118664416750216,155768.6505363819,-18182.6505363819,-11.67285617084748,154417.73037267083,-16831.730372670834,-10.900128069522351,2693.488594039319,1.0087706484402346
2022-01-13,Thursday,132726,168920.7334094548,-36194.73340945481,-21.42705201363335,169747.2919144125,-37021.29191441249,-21.809650979927756,169569.54013236627,-36843.540132366266,-21.727687710662032,826.5585049576664,1.0038408945415764
2022-01-14,Friday,169484,183825.58945694694,-14341.589456946938,-7.801737233273403,185134.8855195367,-15650.885519536707,-8.453774379483503,188747.69261278745,-19263.692612787447,-10.206054625688363,1309.29606258977,1.0267759410992847
2022-01-15,Saturday,205880,197812.1403216818,8067.8596783182,4.078546273852686,195862.7005538453,10017.299446154706,5.114449774167602,194395.53612486794,11484.46387513206,5.907781682679758,-1949.4397678364924,0.9827280358462439
2022-01-16,Sunday,209609,210902.79624052253,-1293.7962405225262,-0.6134561815136039,207721.70128769564,1887.2987123043567,0.9085707947723951,204707.3632423581,4901.636757641914,2.3944604043571927,-3181.0949528268934,0.9706242254318008
2022-01-17,Monday,222197,223119.96745033207,-922.9674503320712,-0.4136642098325555,222002.92160432742,194.07839567257906,0.08742155025260531,223043.48900982874,-846.4890098287433,-0.3795174714969785,-1117.0458460046364,0.9996572317512535
2022-01-18,Tuesday,220950,234486.06418797374,-13536.064187973738,-5.772651877990782,235916.85343041283,-14966.853430412826,-6.344122182363508,237506.3222163113,-16556.322216311295,-6.970897474144902,1430.789242439101,1.0128803306021479
2022-01-19,Wednesday,280622,245023.49669031025,35598.50330968975,14.52860798680192,247716.98528434956,32905.01471565044,13.283309853734659,247172.51163937795,33449.488360622054,13.532851261965773,2693.488594039319,1.0087706484402346
2022-01-20,Thursday,243964,254754.67519420473,-10790.675194204727,-4.235712332257994,255581.2336991624,-11617.233699162403,-4.545417334058543,255733.16103559922,-11769.161035599216,-4.602125507673562,826.5585049576664,1.0038408945415764
2022-01-21,Friday,273727,263702.0099365202,10024.99006347981,3.8016358183591703,265011.30599911,8715.694000890013,3.288800818527827,270762.87942234345,2964.1205776565475,1.0947293011436143,1309.29606258977,1.0267759410992847
2022-01-22,Saturday,241489,271887.9111541198,-30398.91115411982,-11.18067773777856,269938.47138628335,-28449.471386283345,-10.53924297643814,267191.87289882626,-25702.87289882626,-9.619631248499388,-1949.4397678364924,0.9827280358462439
2022-01-23,Sunday,269929,279334.7890838666,-9405.789083866577,-3.3672100473824664,276153.69413103967,-6224.694131039665,-2.2540687534985286,271129.1132906834,-1200.1132906834246,-0.44263534672381605,-3181.0949528268934,0.9706242254318008
2022-01-24,Monday,258038,286065.05396262335,-28027.05396262335,-9.797440678051261,284948.00811661873,-26910.00811661873,-9.443830927081075,285966.999945049,-27928.999945049,-9.76651150322093,-1117.0458460046364,0.9996572317512535
2022-01-25,Tuesday,276404,292101.1160272534,-15697.116027253389,-5.373863763597819,293531.9052696925,-17127.905269692477,-5.835108539208243,295863.4749709408,-19459.47497094079,-6.577180563721854,1430.789242439101,1.0128803306021479
2022-01-26,Wednesday,302348,297465.3855146197,4882.614485380298,1.6414059326376074,300158.87410865905,2189.1258913409547,0.7293223956285497,300074.34983410727,2273.65016589273,0.7576956068220067,2693.488594039319,1.0087706484402346
2022-01-27,Thursday,331844,302180.27266158524,29663.727338414756,9.816566474422196,303006.8311665429,28837.168833457108,9.51700287496397,303340.9152214232,28503.0847785768,9.39638649068195,826.5585049576664,1.0038408945415764
2022-01-28,Friday,296968,306268.18770501297,-9300.18770501297,-3.036615645491262,307577.48376760277,-10609.483767602767,-3.449369452420323,314468.8066595871,-17500.806659587077,-5.565196384814003,1309.29606258977,1.0267759410992847
2022-01-29,Saturday,313220,309751.5408817661,3468.4591182338772,1.1197552426568258,307802.10111392965,5417.898886070354,1.7601890521419725,304401.5233710855,8818.476628914475,2.896988336738437,-1949.4397678364924,0.9827280358462439
2022-01-30,Sunday,294687,312652.7424287075,-17965.742428707483,-5.746228959691314,309471.64747588057,-14784.64747588057,-4.777383516864125,303468.3259489925,-8781.325948992511,-2.893654855587298,-3181.0949528268934,0.9706242254318008
2022-01-31,Monday,341314,314994.20258270035,26319.797417299647,8.355645025050737,313877.15673669573,27436.84326330427,8.741267936972044,314886.2325715158,26427.76742848422,8.392798634815527,-1117.0458460046364,0.9996572317512535
2022-02-01,Tuesday,351663,316798.33158060757,34864.66841939243,11.005319455264022,318229.12082304666,33433.87917695334,10.506228685320243,320878.7988255747,30784.20117442531,9.593716159215361,1430.789242439101,1.0128803306021479
2022-02-02,Wednesday,361908,318087.5396592924,43820.46034070762,13.776226628570324,320781.0282533317,41126.97174666828,12.820886562589639,320877.3736428632,41030.62635713682,12.787011402930498,2693.488594039319,1.0087706484402346
2022-02-03,Thursday,358176,318884.23705561756,39291.76294438244,12.321638506556047,319710.7955605752,38465.20443942479,12.03124979623556,320109.03778111923,38066.96221888077,11.891873619922533,826.5585049576664,1.0038408945415764
2022-02-04,Friday,359679,319210.8340064463,40468.1659935537,12.67756657430257,320520.1300690361,39158.869930963905,12.217288793227922,327758.00449605647,31920.99550394353,9.73919631742437,1309.29606258977,1.0267759410992847
2022-02-05,Saturday,319698,319089.7407486416,608.259251358395,0.19062325536738034,317140.3009808051,2557.6990191948717,0.8064881729899335,313578.4341845997,6119.565815400274,1.9515263641496985,-1949.4397678364924,0.9827280358462439
2022-02-06,Sunday,311018,318543.3675190666,-7525.367519066611,-2.362431080476405,315362.2725662397,-4344.272566239699,-1.3775498669794797,309185.9093646315,1832.090635368484,0.5925530821030556,-3181.0949528268934,0.9706242254318008
2022-02-07,Monday,288228,317594.1245545842,-29366.12455458421,-9.246431934397174,316477.0787085796,-28249.07870857959,-8.926105746379214,317485.26337269845,-29257.26337269845,-9.215313826504481,-1117.0458460046364,0.9996572317512535
2022-02-08,Tuesday,336236,316264.4220920574,19971.577907942585,6.314835470848286,317695.2113344965,18540.788665503496,5.836030259197763,320338.01240630035,15897.987593699654,4.962878889794528,1430.789242439101,1.0128803306021479
2022-02-09,Wednesday,305372,314576.6703683494,-9204.670368349412,-2.9260499062347267,317270.15896238876,-11898.158962388756,-3.750166420094756,317335.71175164974,-11963.711751649738,-3.770048976086456,2693.488594039319,1.0087706484402346
2022-02-10,Thursday,304830,312553.2796203232,-7723.279620323214,-2.4710281810848804,313379.83812528086,-8549.838125280861,-2.7282668139814614,313753.76380596875,-8923.763805968745,-2.8441933883819064,826.5585049576664,1.0038408945415764
2022-02-11,Friday,278826,310216.6600848416,-31390.6600848416,-10.118947214587546,311525.9561474314,-32699.956147431396,-10.496703565835766,318523.00310329016,-39697.00310329016,-12.462837131551618,1309.29606258977,1.0267759410992847
